date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:23	5796/5796	---M--	200	added ('OK')	font/woff	etag:%22609f17cc-16a4%22	https://mteyt.com/css/fonts/icomoon.woff?-fnljg0	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/css/fonts/icomoon9777.woff	(from https://mteyt.com/css/landio.css)
09:42:23	18735/18735	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22609f17cc-492f%22	https://mteyt.com/css/fonts/icomoon.svg?-fnljg0	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/css/fonts/icomoon9777.svg	(from https://mteyt.com/css/landio.css)
09:42:24	124962/124962	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-1e822%22	https://mteyt.com/vendor/bootstrap/css/bootstrap.min.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/bootstrap/css/bootstrap.min.css	(from https://mteyt.com/discord)
09:42:25	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-7918%22	https://mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://mteyt.com/discord)
09:42:26	70815/70815	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-1149f%22	https://mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css	(from https://mteyt.com/discord)
09:42:26	17502/17502	---MCZ	200	added ('OK')	text/css	etag:W/%22609f17cc-5d28%22	https://mteyt.com/vendor/animate/animate.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/animate/animate.css	(from https://mteyt.com/discord)
09:42:27	15196/15196	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-3b5c%22	https://mteyt.com/vendor/select2/select2.min.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/select2/select2.min.css	(from https://mteyt.com/discord)
09:42:27	67678/67678	---MCZ	200	added ('OK')	text/css	etag:W/%22609f17cc-13b1d%22	https://mteyt.com/css/util.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/css/util.css	(from https://mteyt.com/discord)
09:42:28	8142/8142	---MCZ	200	added ('OK')	text/css	etag:W/%22609f17cc-3537%22	https://mteyt.com/css/main.css	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/css/main.css	(from https://mteyt.com/discord)
09:42:29	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%22609f17cc-15283%22	https://mteyt.com/vendor/jquery/jquery-3.2.1.min.js	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/jquery/jquery-3.2.1.min.js	(from https://mteyt.com/discord)
09:42:29	34239/34239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609f17cc-13f06%22	https://mteyt.com/vendor/bootstrap/js/popper.js	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/bootstrap/js/popper.js	(from https://mteyt.com/discord)
09:42:30	51143/51143	---M-Z	200	added ('OK')	application/javascript	etag:W/%22609f17cc-c7c7%22	https://mteyt.com/vendor/bootstrap/js/bootstrap.min.js	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/bootstrap/js/bootstrap.min.js	(from https://mteyt.com/discord)
09:42:30	66664/66664	---M-Z	200	added ('OK')	application/javascript	etag:W/%22609f17cc-10468%22	https://mteyt.com/vendor/select2/select2.min.js	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/select2/select2.min.js	(from https://mteyt.com/discord)
09:42:31	51599/51599	---M-Z	200	added ('OK')	application/javascript	etag:W/%22609f17cc-c98f%22	https://mteyt.com/vendor/countdowntime/moment.min.js	C:/Users/drumn/Downloads/ROBUXX/mteyt.com/vendor/countdowntime/moment.min.js	(from https://mteyt.com/discord)
